"id","century"
"BK-1963-101",18
"BK-18305",17
"BK-NM-13150",17
"BK-AM-33-C",15
"BK-AM-33-F",15
"BK-AM-33-I",15
"BK-AM-33-G",15
"SK-A-4830",17
"SK-A-1451",16
"SK-A-1505",19
"SK-A-3841",16
"SK-A-2963",19
"SK-A-135",17
"SK-A-2099",17
"SK-A-1796",17
"SK-C-2",17
"SK-A-180",17
"SK-A-2382",19
"SK-A-1405",16
"SK-A-4118",17
"SK-A-128",16
"SK-C-149",17
"SK-A-175",17
"SK-A-133",17
"SK-C-1368",15
"SK-C-5",17
"SK-C-597",17
"SK-C-217",17
"SK-C-211",17
"SK-C-216",17
"SK-C-1367",15
"SK-A-1115",19
"SK-A-4691",17
"SK-A-404",17
"BK-KOG-656",16
"NG-KOG-1208",17
"BK-1976-75",17
"BK-17040-A",16
"BK-NM-3888",15
"BK-AM-33-A",15
"BK-AM-33-B",15
"BK-NM-88",15
"AK-MAK-187",12
"AK-MAK-84",12
"SK-A-372",16
"SK-A-4050",17
"SK-A-3580",19
"SK-A-1718",17
"SK-A-4",17
"SK-A-3584",19
"SK-A-2815",16
"SK-A-3262",19
"SK-A-3148",16
"AK-MAK-240",9
"SK-A-1365",17
"SK-A-3064",17
"SK-C-251",17
"SK-C-229",17
"SK-A-500",15
"SK-A-2860",17
"SK-C-109",17
"SK-A-2344",17
"SK-A-799",17
"SK-A-4100",18
"SK-C-6",17
"BK-AM-33-J",15
"BK-AM-33-D",15
"BK-AM-33-E",15
"BK-AM-33-H",15
"SK-A-4821",17
"SK-A-3059",17
"SK-A-3948",18
"SK-A-447",17
"BK-17496",18
"BK-1975-81",17
"BK-NM-1010",17
"BK-16676",18
"BK-2000-17",16
"BK-1983-15",17
"NG-NM-7687",16
"NG-444",17
"SK-A-5033",17
"BK-AM-33",15
"SK-C-1768",17
"BK-17040-A-1",16
"SK-A-147",17
"SK-A-742",17
"BK-NM-1315",18
"BK-1963-65",18
"SK-A-3011",15
"SK-A-2005",18
"SK-A-4688",19
"BK-1976-49",18
"SK-A-1065",19
"BK-1963-64",18
"NG-MC-651",17
"BK-2009-255-1",17
"BK-2009-255-2",17
"SK-A-5005",17
"BK-2004-4-A",17
"SK-A-4981",17
"BK-2004-4-B",17
"NG-2010-39",19
"NG-2010-40",19
"NG-2010-37",19
"NG-2010-38",19
"NG-2010-41",19
"NG-2005-24",19
"BK-1995-3",18
"BK-1994-34",19
"BK-15613",18
"SK-C-1672",19
"BK-R-4927",19
"BK-1985-10",17
"BK-2004-4-B-7",21
"SK-A-5003",17
"AK-RAK-2007-1-B",14
"AK-RAK-2007-1-A",14
"NG-2011-1",20
"BK-2004-4-B-11",17
"BK-2004-4-B-3",17
"BK-2004-4-B-6",17
"BK-2004-4-B-4",17
"BK-2004-4-B-2",17
"BK-2004-4-B-1",21
"BK-2004-4-B-8",17
"BK-2004-4-B-10",21
"BK-2004-4-B-5",17
"RP-P-OB-6686",17
"RP-P-1878-A-1698",17
"RP-P-OB-4863",17
"RP-P-OB-15.540",17
"RP-P-BI-906",17
"RP-P-H-OB-864",17
"RP-P-1886-A-10296",16
"RP-P-1883-A-6805",17
"RP-P-BI-4211",17
"RP-P-H-OB-867",17
"RP-P-H-OB-848",17
"RP-P-1898-A-19670",17
"RP-P-BI-5321",17
"RP-P-H-1319",17
"RP-P-OB-840",17
"RP-P-1982-1",17
"RP-P-1962-77",17
"RP-P-OB-268",17
"RP-P-OB-11.772",16
"RP-P-OB-697",17
"RP-P-OB-241",17
"RP-P-OB-577",17
"RP-P-1962-65",17
"RP-P-OB-20",17
"RP-P-1962-9",17
"RP-P-1962-39",17
"RP-P-OB-184",17
"RP-P-H-OB-808",17
"RP-P-OB-601",17
"RP-T-1897-A-3393",17
"RP-P-1939-119",17
"RP-P-OB-913",15
"RP-P-OB-1281",16
"RP-P-OB-1722",16
"BK-15784-1",17
"BK-1954-44",16
"BK-1956-8",16
"AK-NM-12249",17
"BK-B-113-1",20
"BK-16937",16
"BK-VBR-199",18
"BK-NM-9001",19
"BK-B-77-1",19
"BK-16938",17
"BK-16986-A",15
"BK-B-12",19
"BK-NM-12080",16
"BK-NM-7402",16
"BK-16939",17
"BK-NM-4352",17
"BK-15438",19
"BK-1978-36",17
"BK-15397",16
"BK-16444-A",18
"BK-B-116-1",20
"BK-NM-2931",17
"BK-KOG-1458-A",17
"BK-B-81",19
"BK-16985",15
"BK-1977-24",16
"BK-AM-38",17
"BK-16933",15
"BK-NM-12253",18
"BK-B-93-1",20
"BK-16978",16
"BK-KOG-1457",17
"BK-1959-78",18
"BK-B-44",19
"RP-P-OB-1015",15
"RP-P-OB-1155",16
"BK-NM-11859",15
"BK-AM-51-3",17
"BK-NM-4191",17
"BK-NM-2934",17
"BK-16384",15
"RP-T-1991-3",17
"BK-15117",17
"RP-T-1948-397",17
"BK-AM-51-24-A-1",17
"BK-1971-115-A",17
"BK-NM-10513",17
"BK-1978-247",18
"BK-AM-51-5",17
"BK-NM-2865-1",17
"BK-AM-51-10",17
"SK-A-4255",17
"SK-A-3945",17
"SK-A-3969",17
"SK-A-3892",16
"SK-A-87",17
"SK-A-1627",17
"SK-A-3518",16
"SK-A-110",17
"SK-A-3597",19
"SK-A-3908",17
"SK-A-4646",17
"SK-A-1246",17
"SK-C-378",16
"SK-C-381",17
"SK-A-91",17
"SK-A-182",17
