"id","format1","format2","format3","format4","format5","format6","format7","format8","format9","format10","format11","format12","format13","format14"
"BK-1963-101","marmer","koper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-18305","marmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-13150","terracotta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-C","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-F","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-I","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-G","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4830","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1451","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1505","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3841","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2963","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-135","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2099","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1796","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-2","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-180","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2382","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1405","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4118","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-128","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-149","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-175","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-133","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-1368","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-5","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-597","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-217","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-211","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-216","linnen","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-1367","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1115","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4691","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-404","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-KOG-656","eikenhout","hout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-KOG-1208","vurenhout","leer","hout","runderleer","ijzer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1976-75","zilver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-17040-A","zilver","email",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-3888","eikenhout","krijt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-A","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-B","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-88","eikenhout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-MAK-187","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-MAK-84","wilgenhout","verfstof","paulowniahout","verguldsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-372","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4050","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3580","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1718","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3584","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2815","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3262","karton","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3148","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-MAK-240","andesiet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1365","doek","inkt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3064","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-251","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-229","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-500","eikenhout","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2860","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-109","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2344","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-799","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4100","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-6","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-J","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-D","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-E","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33-H","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4821","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3059","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3948","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-447","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-17496","porselein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1975-81","hout","eikenhout","ebbenhout","bruinharthout","parelmoer","koningshout","palissanderhout","ivoor",NA,NA,NA,NA,NA,NA
"BK-2000-17","terracotta","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1983-15","glas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-NM-7687","ijzer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-444","coromandelhout","fluweel","zilver","porselein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-5033","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-AM-33","brons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-C-1768","olieverf","doek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-17040-A-1","zilver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-147","paneel","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-742","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-NM-1315","hout","notenhout","fluweel","zijde","zilverdraad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1963-65","zilver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-3011","paneel","tempera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-2005","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-4688","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1976-49","olieverf","klei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK-A-1065","doek","olieverf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BK-1963-64","zilver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NG-MC-651","messing","ijzer","textiel","hout","glas","touw",NA,NA,NA,NA,NA,NA,NA,NA
